Latitude,Longitude,Instrument,UTC date,UTC time,Sun elevation,Sun azimuth,Sirius elevation,Rigel elevation,Betelgeuse elevation,Procyon elevation,Capella elevation,Arcturus elevation,Spica elevation,Vega elevation,Deneb elevation,Antares elevation,Altair elevation,Aldebaran elevation,Local sidereal time,Local apparent solar time,Local mean time,Moon elevation,Moon right ascension,Moon phase,Venus elevation,Venus right ascension,Venus phase,Mars elevation,Mars right ascension,Jupiter elevation,Jupiter right ascension,Saturn elevation,Saturn right ascension
39,-77,01/13/19,03/17/19,02:53,,,23,16,34,49,46,28,16,,,,,,09:30,21:45,21:55,65,08:10,Wax60,,,,,,,,,
39,-77,01/13/19,03/17/19,14:20,34,123,,,,,,,,,,,,,21:00,09:10,09:20,,,,,,,,,,,,
39,-77,01/13/19,03/18/19,02:57,,,21,16,32,48,44,27,,,,,,,09:35,21:45,21:55,66,09:10,Wax75,,,,,,,,,
39,-77,01/13/19,03/19/19,01:54,,,28,25,43,55,55,16,,,,,,,08:38,20:55,21:03,58,09:40,Wax90,,,,,,,,,
39,-77,01/13/19,03/19/19,13:33,18,105,,,,,,,,,,,,,19:25,07:35,07:43,,,,,,,,,,,,
39,-77,01/13/19,03/19/19,23:04,0,90,,,,,,,,,,,,,05:55,18:02,18:10,13,11:05,Wax98,,,,,,,,,
39,-77,01/13/19,03/20/19,00:33,,,35,35,52,55,67,,,,,,,,07:20,19:20,19:28,30,11:00,Wax98,,,,35,03:25,,,,
39,-77,01/13/19,03/20/19,13:27,24,112,,,,,,,,,,,,,20:05,08:10,08:18,,,,,,,,,,,,
39,-77,01/13/19,03/23/19,18:00,51,200,,,,,,,,,,,,,01:00,12:55,13:01,,,,,,,,,,,,
39,-77,01/13/19,03/23/19,19:30,41,230,,,,,,,,,,,,,02:45,14:20,14:26,,,,,,,,,,,,
39,-77,01/13/19,03/24/19,13:23,24,112,,,,,,,,,,,,,20:15,08:05,08:11,,,,,,,,,,,,
39,-77,01/13/19,03/25/19,12:00,9,95,,,,,,,,,,,,,19:00,06:43,06:49,11,15:00,Wane60,,,,,,,,,
39,-77,01/13/19,03/26/19,11:23,4,95,,,,,,,,,,,,,18:30,06:15,06:21,27,18:00,Wane55,,,,,,,,,
39,-77,01/13/19,03/26/19,16:39,52,168,,,,,,,,,,,,,23:40,11:25,11:31,,,,,,,,,,,,
39,-77,01/13/19,03/27/19,13:56,31,115,,,,,,,,,,,,,21:05,08:40,08:46,,,Wane50,,,,,,,,,
39,-77,01/13/19,03/28/19,01:24,,,29,24,42,52,54,18,8,,,,,,08:35,20:10,20:16,,,,,,,,,,,,
39,-77,01/13/19,03/28/19,20:35,18,112,,,,,,,,,,,,,19:50,07:25,07:31,26,18:50,Wane50,,,,,,,,,
39,-77,01/13/19,04/01/19,10:58,0,85,,,,,,,,,,,,,18:25,05:50,05:54,,,,,,,,,,,,
39,-77,01/13/19,04/01/19,19:41,40,235,,,,,,,,,,,,,03:10,14:35,14:39,,,,,,,,,,,,
39,-77,01/13/19,04/03/19,13:57,36,115,,,,,,,,,,,,,21:40,08:55,08:59,,,,,,,,,,,,
39,-77,01/13/19,04/04/19,00:36,,,30,27,46,55,57,13,,,,,,,08:05,19:25,19:30,,,,,,,33,04:00,,,,
